Club,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
Como,-0.16116844258501037,0.07822758792315564,-0.1478641177993985,0.1096297019722166,0.24700287503696652,0.1328285499071861,-0.24354731936801374,0.01757079957452908,-0.12912853477471933,0.2140042381683038,-0.12555813928040288,0.21094314633646033,0.013743728552694652
Cremonese,-0.5243687452726422,-1.2617172725605887,0.5955153078564674,-0.16477160157303702,0.38762264763371385,0.0822973784470697,0.4590236363850568,-0.005704336073973752,0.054839166290083764,0.12946357468009279,0.08286351891864581,0.25455256012081645,-0.20925489372502148
Crystal Palace,-0.676729278172781,0.11149720507047789,-0.2040932668171237,-0.1796996470047724,-0.4981126385286987,-0.05463115918212483,-0.34921497205443874,0.03224261357841251,-0.029481523620399373,0.10122284592793078,-0.05524202740218044,0.18990634440526058,-0.06138816741256571
Eintracht Frankfurt,0.1941071664075432,-0.2860912159426984,0.10459169111708899,0.5925745572685026,0.02578900998370626,0.16182436887219592,-0.4021132526798283,-0.41454101680800826,-0.0886647295275839,0.0345536885401531,-0.07429659476956813,-0.26334068429439184,0.0022638116739777904
Elche,-0.4212133618925069,-1.4450334972614762,0.02835335894174127,-0.23238052552683364,0.32322623726175914,-0.21823255778703993,0.2839213555537564,0.2412583389854015,-0.037105676952593016,0.18659254218627053,-0.09106048887397815,0.10941399121498979,0.015485979379406474
Espanyol,-0.3958817585890695,-0.8118183808842406,-0.7288453726256952,-0.2823068616565911,0.34480619738981655,0.06460118240839768,0.605103297616963,0.010877774636680987,-0.5908976560079955,-0.36474075674363227,0.024115103519287664,-0.23865044495453477,0.14182650939580166
Everton,-0.8024943267235737,0.6306870521074421,0.16585673574411522,0.14383629793974692,-0.1534795909761651,-0.09609330637054422,-0.044530459756794795,0.19448608275748536,-0.2719014711336684,-0.1915169389173046,0.21399257478559278,-0.2318501589304268,0.18988627194197755
FC Bayern,0.3161646812667911,2.9349158708238074,-0.07990159503767096,0.39855768823833276,-0.8781421740864211,0.45710455532124444,-0.1789446845387875,-0.08425189390558167,0.09385195425424675,-0.2450755365376209,0.3543306287489794,-0.1843016387696266,0.23166705618351888
Fiorentina,0.05452087246198273,0.8213518851431703,0.311524048891348,0.051458952165388115,-0.32954288513812735,0.03544535243125033,-0.3551983421809042,-0.0043126608797696645,0.04266256981728533,0.23235536423392447,-0.1588634286460481,0.29622940786028584,-0.23277198512284833
Freiburg,-0.6648518555768039,0.28295309534102875,0.10293470841407532,0.12007354778117532,0.7384298360419955,0.8577362156615196,0.12879448944396413,-0.04815189622126203,-0.13905103311722875,0.08213163171640328,0.00905057031923776,-0.07849847340366792,0.3215617452786653
Fulham,0.4941417808189759,0.8153943705320863,0.09240081396441877,0.34712844294708145,-0.3099119524290058,0.3182540606253869,0.19969649875815326,0.31938813151454154,0.12094863288501165,0.06546345684747108,-0.29483795301055465,-0.06505162684886936,0.30606665338210537
Genoa,-0.1534527910746606,-0.04639803240730542,0.27881519330194676,-0.03697573071066973,0.07396623593607217,-0.11756014398615262,-0.09508333096975304,0.16128176571677558,0.15541702489347406,0.04093976118557555,0.02311758971684748,0.08865044435103847,-0.032033645553027616
