Home,xG,Score,xG.1,Away
Getafe,0.6,0–1,1,Atlético
Elche,1.4,2–2,3.4,Real Madrid
Espanyol,1.1,2–1,1.8,Sevilla
Getafe,1,1–0,0.5,Elche
Mallorca,1.5,2–2,1.1,Osasuna
Barcelona,2.2,3–1,1.5,Alavés
Levante,1.3,0–2,2.9,Athletic
Atlético,1.9,2–0,0.9,Real Oviedo
Real Sociedad,1,2–3,1.5,Villarreal
Sevilla,0.3,0–2,1.1,Real Betis
Celta,0.6,0–1,0.4,Espanyol
Girona,0.8,1–1,2.5,Real Madrid
Rayo Vallecano,1.5,1–1,0.6,Valencia
Barcelona,3.6,3–1,1,Atlético
Athletic,1,0–3,2.2,Real Madrid
Real Oviedo,1.2,0–0,0.7,Mallorca
Villarreal,0.6,2–0,0.3,Getafe
Alavés,1.4,1–0,1.2,Real Sociedad
Real Betis,2.4,3–5,2.8,Barcelona
Athletic,1.1,1–0,0.7,Atlético
Elche,2,3–0,0.9,Girona
Valencia,1.2,1–1,0.3,Sevilla
Espanyol,1.3,1–0,0.3,Rayo Vallecano
Real Madrid,2.4,0–2,1.6,Celta
Osasuna,1,2–0,0.5,Levante
Real Sociedad,0.9,1–2,1.4,Girona
Atlético,1,2–1,1.2,Valencia
Mallorca,2.4,3–1,0.3,Elche
Barcelona,2.4,2–0,0.4,Osasuna
Getafe,0.3,0–1,0.5,Espanyol
Sevilla,2,4–0,0.6,Real Oviedo
Celta,1.3,2–0,1.6,Athletic
Levante,,,,Villarreal
Alavés,1.3,1–2,1.8,Real Madrid
Sassuolo,0.4,0–2,1.2,Napoli
Genoa,0.5,0–0,0.4,Lecce
Roma,1.6,1–0,0.6,Bologna
Milan,1.8,1–2,0.2,Cremonese
Como,1.3,2–0,0.3,Lazio
Cagliari,1.1,1–1,1,Fiorentina
Atalanta,1.9,1–1,0.6,Pisa
Juventus,2.3,2–0,0.6,Parma
Udinese,0.7,1–1,0.5,Hellas Verona
Inter,1.6,5–0,0.9,Torino
Cremonese,2.7,3–2,1.3,Sassuolo
Lecce,0.3,0–2,1.8,Milan
Parma,0.7,1–1,0.8,Atalanta
Bologna,1.1,1–0,0.7,Como
